Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,0,bonnie_vm,675,94,12056us,,,,,,,,,,,,
Sequential Output,Block,0,bonnie_vm,41816,13,125s,,,,,,,,,,,,
Sequential Output,Rewrite,0,bonnie_vm,150817,13,1247ms,,,,,,,,,,,,
Sequential Input,Per character,0,bonnie_vm,3553,78,2024us,,,,,,,,,,,,
Sequential Input,Block,0,bonnie_vm,1922905,78,414us,,,,,,,,,,,,
Random,Seeks,0,bonnie_vm,338.9,5,2331us,,,,,,,,,,,,
Sequential Create,Create,0,bonnie_vm,20746,29,253us,,,,,,,,,,,,
Sequential Create,Read,0,bonnie_vm,+++++,+++,350us,,,,,,,,,,,,
Sequential Create,Delete,0,bonnie_vm,29179,31,425us,,,,,,,,,,,,
Random create,Create,0,bonnie_vm,29553,41,288us,,,,,,,,,,,,
Random create,Read,0,bonnie_vm,+++++,+++,24us,,,,,,,,,,,,
Random create,Delete,0,bonnie_vm,+++++,+++,435us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,1,bonnie_vm,657,95,12740us,,,,,,,,,,,,
Sequential Output,Block,1,bonnie_vm,91074,9,210ms,,,,,,,,,,,,
Sequential Output,Rewrite,1,bonnie_vm,43783,3,128s,,,,,,,,,,,,
Sequential Input,Per character,1,bonnie_vm,3691,82,2155us,,,,,,,,,,,,
Sequential Input,Block,1,bonnie_vm,2168600,81,10329us,,,,,,,,,,,,
Random,Seeks,1,bonnie_vm,326.0,5,3034us,,,,,,,,,,,,
Sequential Create,Create,1,bonnie_vm,20286,27,311us,,,,,,,,,,,,
Sequential Create,Read,1,bonnie_vm,+++++,+++,351us,,,,,,,,,,,,
Sequential Create,Delete,1,bonnie_vm,28096,28,436us,,,,,,,,,,,,
Random create,Create,1,bonnie_vm,22538,31,214us,,,,,,,,,,,,
Random create,Read,1,bonnie_vm,+++++,+++,26us,,,,,,,,,,,,
Random create,Delete,1,bonnie_vm,28900,31,63647us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,2,bonnie_vm,655,94,12765us,,,,,,,,,,,,
Sequential Output,Block,2,bonnie_vm,119777,13,452ms,,,,,,,,,,,,
Sequential Output,Rewrite,2,bonnie_vm,108883,8,2378ms,,,,,,,,,,,,
Sequential Input,Per character,2,bonnie_vm,3878,86,1993us,,,,,,,,,,,,
Sequential Input,Block,2,bonnie_vm,2513074,80,365us,,,,,,,,,,,,
Random,Seeks,2,bonnie_vm,357.8,6,2526us,,,,,,,,,,,,
Sequential Create,Create,2,bonnie_vm,24967,33,294us,,,,,,,,,,,,
Sequential Create,Read,2,bonnie_vm,+++++,+++,344us,,,,,,,,,,,,
Sequential Create,Delete,2,bonnie_vm,29892,31,397us,,,,,,,,,,,,
Random create,Create,2,bonnie_vm,24202,33,318us,,,,,,,,,,,,
Random create,Read,2,bonnie_vm,+++++,+++,33us,,,,,,,,,,,,
Random create,Delete,2,bonnie_vm,32534,34,392us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
